Date,Open,High,Low,Close,Adj Close,Volume
1/4/2000,6000,6110,5660,6110,4449.709961,74195000
1/5/2000,5800,6060,5520,5580,4063.72876,74680000
1/6/2000,5750,5780,5580,5620,4092.859863,54390000
1/7/2000,5560,5670,5360,5540,4034.598877,40305000
1/10/2000,5600,5770,5580,5770,4202.098145,46880000
1/11/2000,5820,6100,5770,5770,4202.098145,59745000
1/12/2000,5610,5740,5600,5720,4165.683594,29220000
1/13/2000,5600,5740,5560,5710,4158.40332,41190000
1/14/2000,5720,5880,5680,5830,4245.79541,49375000
1/17/2000,6000,6180,5920,6100,4442.427734,63505000
1/18/2000,6160,6160,5980,6100,4442.427734,45260000
1/19/2000,6000,6040,5960,5960,4340.47168,40205000
1/20/2000,5860,6040,5820,6040,4398.731934,37315000
1/21/2000,5950,5980,5880,5880,4282.211426,32535000
1/24/2000,5800,5900,5700,5700,4151.12207,34355000
1/25/2000,5520,5640,5440,5440,3961.772461,44250000
1/26/2000,5500,5520,5410,5480,3990.903076,29285000
1/27/2000,5480,5620,5430,5520,4020.032227,27900000
1/28/2000,5640,5880,5540,5820,4238.513184,38315000
1/31/2000,5640,5730,5560,5580,4063.72876,39630000
2/1/2000,5600,5680,5260,5320,3874.381104,71470000
2/2/2000,5220,5370,5110,5250,3823.400879,64105000
2/3/2000,5250,5460,4970,5130,3736.008545,142765000
2/4/2000,5130,5130,5130,5130,3736.008545,0
2/7/2000,5140,5330,5040,5240,3816.118652,64140000
2/8/2000,5340,5480,5310,5430,3954.488037,58460000
2/9/2000,5560,5720,5480,5720,4165.683594,51050000
2/10/2000,5660,5880,5600,5760,4194.814941,61845000
2/11/2000,5960,5960,5680,5700,4151.12207,34660000
2/14/2000,5600,5660,5340,5380,3918.075684,44140000
2/15/2000,5380,5420,5140,5200,3786.986816,38315000
2/16/2000,5180,5200,4780,5000,3641.33374,73115000
2/17/2000,4940,5100,4910,5080,3699.595215,65185000
2/18/2000,5370,5630,5160,5300,3859.814209,108750000
2/21/2000,5200,5260,5030,5070,3692.3125,26485000
2/22/2000,5000,5240,5000,5120,3728.726318,24180000
2/23/2000,5220,5260,5100,5140,3743.292236,27720000
2/24/2000,5120,5240,5060,5070,3692.3125,26075000
2/25/2000,5080,5150,4980,5120,3728.726318,27875000
2/28/2000,5000,5050,4800,4800,3495.681396,30140000
2/29/2000,4900,5140,4840,5120,3728.726318,51820000
3/1/2000,5120,5120,5120,5120,3728.726318,0
3/2/2000,5880,5880,5520,5880,4282.211426,117750000
3/3/2000,6200,6250,5880,6000,4369.600586,140990000
3/6/2000,6000,6050,5600,5640,4107.425781,39150000
3/7/2000,5600,5640,5480,5620,4092.859863,30070000
3/8/2000,5520,6000,5500,5920,4311.338379,32460000
3/9/2000,5970,5980,5620,5620,4092.859863,55890000
3/10/2000,5790,5800,5520,5540,4034.598877,28605000
3/13/2000,5480,5490,5160,5180,3772.423584,32215000
3/14/2000,5170,5380,5160,5210,3794.27002,30060000
3/15/2000,5200,5400,5120,5400,3932.642334,46105000
3/16/2000,5480,5520,5360,5400,3932.642334,28795000
3/17/2000,5540,5560,5400,5480,3990.903076,24080000
3/20/2000,5600,5710,5530,5660,4121.989746,26365000
3/21/2000,5700,5940,5610,5880,4282.211426,44925000
3/22/2000,5960,6300,5880,6200,4515.254883,86975000
3/23/2000,6480,6580,6200,6200,4515.254883,64950000
3/24/2000,6320,7120,6180,6800,4952.21582,90260000
3/27/2000,6960,7040,6700,6800,4952.21582,67730000
3/28/2000,6900,7260,6820,7030,5119.71582,74425000
3/29/2000,7030,7680,6980,7660,5578.524414,78090000
3/30/2000,7520,7560,7050,7050,5134.282227,74645000
3/31/2000,6800,7070,6650,6700,4879.387695,63855000
4/3/2000,6920,7320,6860,7100,5170.694824,56805000
4/4/2000,7000,7290,6660,6800,4952.21582,58340000
4/5/2000,6800,6800,6800,6800,4952.21582,0
4/6/2000,6860,6960,6680,6680,4864.821777,47235000
4/7/2000,6860,7260,6780,7200,5243.520996,42355000
4/10/2000,7500,7500,7200,7300,5316.348145,35885000
4/11/2000,7200,7200,6950,7100,5170.694824,29075000
4/12/2000,6960,7030,6860,6910,5032.324219,35250000
4/13/2000,6910,6910,6910,6910,5032.324219,0
4/14/2000,6600,6680,6260,6260,4558.950195,62365000
4/17/2000,5420,5750,5340,5520,4020.032227,78050000
4/18/2000,6200,6240,5860,6040,4398.731934,73730000
4/19/2000,6300,6460,5860,6000,4369.600586,60615000
4/20/2000,5960,6160,5920,6020,4384.165527,37335000
4/21/2000,6060,6180,5970,6050,4406.012695,26425000
4/24/2000,5970,6030,5760,5800,4223.946777,27830000
4/25/2000,5620,5760,5520,5640,4107.425781,34900000
4/26/2000,5820,5860,5600,5600,4078.294678,39290000
4/27/2000,5520,5700,5400,5400,3932.642334,54110000
4/28/2000,5500,6100,5460,6000,4369.600586,75530000
5/1/2000,6000,6000,6000,6000,4369.600586,0
5/2/2000,6200,6530,6120,6280,4573.515625,72335000
5/3/2000,6240,6260,6090,6180,4500.687012,26585000
5/4/2000,6220,6360,6140,6180,4500.687012,26100000
5/5/2000,6180,6180,6180,6180,4500.687012,0
5/8/2000,6400,6700,6300,6560,4777.431152,52695000
5/9/2000,6560,6560,6560,6560,4777.431152,0
5/10/2000,6320,6390,6270,6350,4624.493652,27620000
5/11/2000,6350,6350,6350,6350,4624.493652,0
5/12/2000,6420,6440,6160,6160,4486.124512,47170000
5/15/2000,6290,6530,6220,6440,4690.039551,47120000
5/16/2000,6510,6800,6510,6800,4952.21582,39620000
5/17/2000,7000,7340,6920,6920,5039.605469,76235000
5/18/2000,6740,7000,6680,6800,4952.21582,36580000
5/19/2000,6740,6900,6600,6900,5025.041504,41450000
5/22/2000,6720,6830,6620,6670,4857.540527,36385000
5/23/2000,6500,6700,6350,6380,4646.341797,41290000
5/24/2000,6160,6370,5920,6200,4515.254883,72150000
5/25/2000,6330,6380,5930,6000,4369.600586,85965000
5/26/2000,5900,5990,5600,5600,4078.294678,67100000
5/29/2000,5260,5680,5240,5460,3976.337402,67130000
5/30/2000,5460,5460,5460,5460,3976.337402,0
5/31/2000,6000,6290,5960,6160,4486.124512,83935000
6/1/2000,6200,6410,6120,6300,4588.082031,50230000
6/2/2000,6690,6900,6510,6620,4821.125488,84385000
6/5/2000,6920,6980,6680,6740,4908.518066,48010000
6/6/2000,6740,6740,6740,6740,4908.518066,0
6/7/2000,6600,6980,6510,6800,4952.21582,53365000
6/8/2000,6660,6960,6530,6530,4755.584473,58550000
6/9/2000,6600,7040,6530,7020,5112.432129,63860000
6/12/2000,7200,7280,7030,7190,5236.237793,49515000
6/13/2000,7060,7100,6870,7060,5141.562988,42495000
6/14/2000,7230,7640,7090,7640,5563.958984,63020000
6/15/2000,7560,7560,7000,7000,5097.868164,61225000
6/16/2000,6900,6960,6710,6740,4908.518066,66455000
6/19/2000,6600,6950,6550,6700,4879.387695,53560000
6/20/2000,6940,7180,6830,7140,5199.825195,59790000
6/21/2000,7300,7380,7070,7080,5156.129883,37585000
6/22/2000,7240,7270,6960,7040,5126.997559,33635000
6/23/2000,6980,7010,6860,7000,5097.868164,29215000
6/26/2000,7100,7360,6990,7210,5250.803711,39980000
6/27/2000,7320,7440,7190,7310,5323.628906,45535000
6/28/2000,7220,7540,7220,7520,5476.56543,47295000
6/29/2000,7600,7740,7380,7490,5454.71875,61120000
6/30/2000,7440,7540,7290,7380,5374.607422,35250000
7/3/2000,7440,7550,7420,7500,5462.000977,25975000
7/4/2000,7600,7620,7350,7350,5352.758789,32810000
7/5/2000,7390,7520,7350,7430,5411.020996,24895000
7/6/2000,7240,7350,7180,7300,5316.348145,60340000
7/7/2000,7340,7460,7230,7360,5360.043457,40580000
7/10/2000,7440,7630,7410,7600,5534.827148,42505000
7/11/2000,7580,7740,7450,7450,5425.588379,34945000
7/12/2000,7520,7660,7460,7640,5563.958984,40140000
7/13/2000,7700,7880,7570,7760,5651.350586,48805000
7/14/2000,7780,7840,7540,7550,5498.414551,30425000
7/17/2000,7550,7550,7550,7550,5498.414551,0
7/18/2000,7550,7620,7440,7460,5432.870605,19605000
7/19/2000,7550,7620,7440,7460,5432.870605,19605000
7/20/2000,7060,7110,6840,6900,5025.041504,40315000
7/21/2000,6960,7050,6760,6920,5039.605469,48395000
7/24/2000,6640,6740,6360,6380,4646.341797,49015000
7/25/2000,6310,6400,6120,6280,4573.515625,56735000
7/26/2000,6400,6580,6360,6550,4770.147461,54745000
7/27/2000,6220,6360,6100,6230,4537.104004,43540000
7/28/2000,5800,5910,5710,5730,4172.967773,83035000
7/31/2000,5730,5910,5550,5900,4296.773926,46615000
8/1/2000,5960,6270,5870,6220,4529.818359,53120000
8/2/2000,6100,6170,5930,6070,4420.57959,37190000
8/3/2000,6180,6180,5970,6030,4391.447754,27815000
8/4/2000,5930,6010,5850,5920,4311.338379,23605000
8/7/2000,5740,5770,5580,5580,4063.72876,28765000
8/8/2000,5660,5750,5570,5580,4063.72876,33475000
8/9/2000,5680,6040,5680,6000,4369.600586,39570000
8/10/2000,6000,6160,5860,6160,4486.124512,40830000
8/11/2000,6000,6070,5880,5960,4340.47168,33840000
8/14/2000,6060,6160,6000,6020,4384.165527,23730000
8/15/2000,6020,6020,6020,6020,4384.165527,0
8/16/2000,6500,6530,6330,6420,4675.472168,51915000
8/17/2000,6480,6560,6340,6440,4690.039551,36345000
8/18/2000,6500,6520,6200,6200,4515.254883,21370000
8/21/2000,6200,6340,6190,6270,4566.23291,20950000
8/22/2000,6260,6470,6240,6460,4704.604004,27710000
8/23/2000,6450,6450,6160,6190,4507.971191,27905000
8/24/2000,6260,6300,6100,6220,4529.818359,31700000
8/25/2000,6180,6400,6110,6400,4660.907715,21960000
8/28/2000,6340,6380,6260,6330,4609.929199,17630000
8/29/2000,6320,6380,6160,6220,4529.818359,16765000
8/30/2000,6140,6190,6020,6030,4391.447754,23735000
8/31/2000,5900,5900,5380,5470,3983.618896,114120000
9/1/2000,5540,5600,5420,5540,4034.598877,49955000
9/4/2000,5440,5550,5310,5340,3888.944336,28625000
9/5/2000,5260,5340,5030,5150,3750.573975,79765000
9/6/2000,5200,5280,5090,5150,3750.573975,53120000
9/7/2000,4940,4980,4760,4790,3488.398926,83905000
9/8/2000,4900,4930,4790,4880,3553.942871,57170000
9/11/2000,4880,4880,4880,4880,3553.942871,0
9/12/2000,4880,4880,4880,4880,3553.942871,0
9/13/2000,4880,4880,4880,4880,3553.942871,0
9/14/2000,4600,4710,4440,4710,3430.135742,106130000
9/15/2000,4500,4620,4300,4350,3167.960449,82695000
9/18/2000,4010,4120,3700,3970,2891.219238,146305000
9/19/2000,3990,4370,3900,4160,3029.590088,100525000
9/20/2000,4600,4660,4460,4600,3350.027832,103410000
9/21/2000,4590,4660,4320,4400,3204.373779,65445000
9/22/2000,3840,4050,3780,3800,2767.413574,103265000
9/25/2000,3880,4110,3840,4090,2978.611328,65985000
9/26/2000,3900,4040,3900,4000,2913.067627,58430000
9/27/2000,4000,4100,3960,4030,2934.914795,69795000
9/28/2000,4100,4190,4030,4060,2956.763916,52470000
9/29/2000,4120,4120,3940,4040,2942.197754,57535000
10/2/2000,3840,3880,3760,3810,2774.695801,41120000
10/3/2000,3810,3810,3810,3810,2774.695801,0
10/4/2000,3700,3950,3590,3890,2832.957275,82635000
10/5/2000,4020,4080,3940,3940,2869.371582,62745000
10/6/2000,3800,3900,3760,3900,2840.240967,54935000
10/9/2000,3820,3840,3680,3690,2687.303711,63195000
