example_id,split,product_id,product_name,model,target_category_slug,target_category_name,feature_source,label_source,is_synthetic
category-1,validation,1,iPhone 14,A2649,phones,Phones,seed_derived,catalog_taxonomy,1
category-2,train,2,NVIDIA RTX 4070,4070-12G,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-3,train,3,"Xiaomi Power Bank 20,000mAh",PB200ZM,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-4,train,4,Nokia 1100 Feature Phone,NOKIA-1100,phones,Phones,seed_derived,catalog_taxonomy,1
category-5,train,5,Rechargeable LED Work Light,LED-WORK-1122,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-6,validation,6,Nova Air Pedestal Fan,NOVA-AIR-55W,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-7,train,7,Haircare SKU0,SKU0,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-8,train,8,Skincare SKU1,SKU1,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-9,train,9,Haircare SKU2,SKU2,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-10,train,10,Skincare SKU3,SKU3,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-11,train,11,Skincare SKU4,SKU4,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-12,test,12,Haircare SKU5,SKU5,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-13,train,13,Skincare SKU6,SKU6,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-14,train,14,Cosmetics SKU7,SKU7,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-15,validation,15,Cosmetics SKU8,SKU8,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-16,train,16,Skincare SKU9,SKU9,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-17,train,17,Skincare SKU10,SKU10,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-18,train,18,Skincare SKU11,SKU11,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-19,train,19,Haircare SKU12,SKU12,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-20,test,20,Skincare SKU13,SKU13,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-21,train,21,Skincare SKU14,SKU14,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-22,test,22,Skincare SKU15,SKU15,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-23,train,23,Skincare SKU16,SKU16,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-24,validation,24,Cosmetics SKU17,SKU17,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-25,validation,25,Haircare SKU18,SKU18,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-26,test,26,Skincare SKU19,SKU19,skincare,Skincare,seed_derived,catalog_taxonomy,1
