dataset,field,data_type,role,description,source,allowed_or_range,leakage_note
catalog_bootstrap.csv,source_revision,string,metadata,Source revision,public-catalog.snapshot.json,,
catalog_bootstrap.csv,schema_version,string,metadata,Schema version,public-catalog.snapshot.json,,
catalog_bootstrap.csv,record_source,string,metadata,Record source,public-catalog.snapshot.json,,
catalog_bootstrap.csv,feature_source,string,metadata,Feature source,public-catalog.snapshot.json,,
catalog_bootstrap.csv,label_source,string,metadata,Label source,public-catalog.snapshot.json,,
catalog_bootstrap.csv,is_synthetic,boolean,metadata,Is synthetic,public-catalog.snapshot.json,,
catalog_bootstrap.csv,training_readiness,string,metadata,Training readiness,public-catalog.snapshot.json,,
catalog_bootstrap.csv,group_split,string,metadata,Group split,public-catalog.snapshot.json,,
catalog_bootstrap.csv,product_id,integer,identifier,Product id,public-catalog.snapshot.json,,Use as a key only; exclude from generalization-focused model features.
catalog_bootstrap.csv,product_slug,string,identifier,Product slug,public-catalog.snapshot.json,,Use as a key only; exclude from generalization-focused model features.
catalog_bootstrap.csv,product_name,string,feature,Product name,public-catalog.snapshot.json,,
catalog_bootstrap.csv,model,string,feature,Model,public-catalog.snapshot.json,,
catalog_bootstrap.csv,category_id,integer,feature,Category id,public-catalog.snapshot.json,,
catalog_bootstrap.csv,category_slug,string,feature,Category slug,public-catalog.snapshot.json,,
catalog_bootstrap.csv,category_name,string,feature,Category name,public-catalog.snapshot.json,,
catalog_bootstrap.csv,variant_id,integer,identifier,Variant id,public-catalog.snapshot.json,,
catalog_bootstrap.csv,variant_name,string,feature,Variant name,public-catalog.snapshot.json,,
catalog_bootstrap.csv,sku,string,feature,Sku,public-catalog.snapshot.json,,
catalog_bootstrap.csv,missing_sku,boolean,feature,Missing sku,public-catalog.snapshot.json,,
catalog_bootstrap.csv,weight_kg,number,feature,Weight kg,public-catalog.snapshot.json,,
catalog_bootstrap.csv,length_cm,string,feature,Length cm,public-catalog.snapshot.json,,
catalog_bootstrap.csv,width_cm,string,feature,Width cm,public-catalog.snapshot.json,,
catalog_bootstrap.csv,height_cm,string,feature,Height cm,public-catalog.snapshot.json,,
catalog_bootstrap.csv,volume_cm3,number,feature,Volume cm3,public-catalog.snapshot.json,,
catalog_bootstrap.csv,volumetric_weight_kg,number,feature,Volumetric weight kg,public-catalog.snapshot.json,,
catalog_bootstrap.csv,min_price_usd,number,feature,Min price usd,public-catalog.snapshot.json,,
catalog_bootstrap.csv,origin_country_codes,string,feature,Origin country codes,public-catalog.snapshot.json,,
catalog_bootstrap.csv,origin_count,integer,feature,Origin count,public-catalog.snapshot.json,,
catalog_bootstrap.csv,supplier_count,integer,feature,Supplier count,public-catalog.snapshot.json,,
catalog_bootstrap.csv,max_supplier_rating,number,feature,Max supplier rating,public-catalog.snapshot.json,,
catalog_bootstrap.csv,image_kind,string,feature,Image kind,public-catalog.snapshot.json,,
catalog_bootstrap.csv,has_image,boolean,feature,Has image,public-catalog.snapshot.json,,
category_text_classification.csv,example_id,integer,identifier,Example id,public-catalog.snapshot.json,,Use as a key only; exclude from generalization-focused model features.
category_text_classification.csv,split,string,metadata,Split,public-catalog.snapshot.json,,
category_text_classification.csv,product_id,integer,identifier,Product id,public-catalog.snapshot.json,,Use as a key only; exclude from generalization-focused model features.
category_text_classification.csv,product_name,string,feature,Product name,public-catalog.snapshot.json,,
category_text_classification.csv,model,string,feature,Model,public-catalog.snapshot.json,,
category_text_classification.csv,target_category_slug,string,target,Target category slug,public-catalog.snapshot.json,,Never include this target in the input feature matrix.
category_text_classification.csv,target_category_name,string,target,Target category name,public-catalog.snapshot.json,,Never include this target in the input feature matrix.
category_text_classification.csv,feature_source,string,metadata,Feature source,public-catalog.snapshot.json,,
category_text_classification.csv,label_source,string,metadata,Label source,public-catalog.snapshot.json,,
category_text_classification.csv,is_synthetic,boolean,metadata,Is synthetic,public-catalog.snapshot.json,,
offer_price_regression.csv,example_id,integer,identifier,Example id,general_goods_v1.json deterministic offer templates,,Use as a key only; exclude from generalization-focused model features.
offer_price_regression.csv,split,string,metadata,Split,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,category_slug,string,feature,Category slug,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,weight_kg,number,feature,Weight kg,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,length_cm,string,feature,Length cm,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,width_cm,string,feature,Width cm,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,height_cm,string,feature,Height cm,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,volume_cm3,number,feature,Volume cm3,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,origin_country_code,string,feature,Origin country code,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,transport_mode,string,feature,Transport mode,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,stock,integer,feature,Stock,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,moq,integer,feature,Moq,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,supplier_rating,number,feature,Supplier rating,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,target_offer_price_usd,number,target,Target offer price usd,general_goods_v1.json deterministic offer templates,,Never include this target in the input feature matrix.
offer_price_regression.csv,feature_source,string,metadata,Feature source,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,label_source,string,metadata,Label source,general_goods_v1.json deterministic offer templates,,
offer_price_regression.csv,is_synthetic,boolean,metadata,Is synthetic,general_goods_v1.json deterministic offer templates,,
product_countries.csv,source_revision,string,metadata,Source revision,public-catalog.snapshot.json,,
product_countries.csv,product_id,integer,identifier,Product id,public-catalog.snapshot.json,,Use as a key only; exclude from generalization-focused model features.
product_countries.csv,product_slug,string,identifier,Product slug,public-catalog.snapshot.json,,Use as a key only; exclude from generalization-focused model features.
product_countries.csv,category_slug,string,feature,Category slug,public-catalog.snapshot.json,,
product_countries.csv,country_code,string,feature,Country code,public-catalog.snapshot.json,,
product_countries.csv,feature_source,string,metadata,Feature source,public-catalog.snapshot.json,,
product_countries.csv,is_synthetic,boolean,metadata,Is synthetic,public-catalog.snapshot.json,,
product_monthly_trends_synthetic.csv,row_id,integer,identifier,Row id,synthetic-demand-v1,,Use as a key only; exclude from generalization-focused model features.
product_monthly_trends_synthetic.csv,feature_period_start,datetime,feature,Feature period start,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,target_period_start,datetime,feature,Target period start,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,split,string,metadata,Split,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,product_id,integer,identifier,Product id,synthetic-demand-v1,,Use as a key only; exclude from generalization-focused model features.
product_monthly_trends_synthetic.csv,product_slug,string,identifier,Product slug,synthetic-demand-v1,,Use as a key only; exclude from generalization-focused model features.
product_monthly_trends_synthetic.csv,category_slug,string,feature,Category slug,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,min_price_usd,number,feature,Min price usd,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,weight_kg,number,feature,Weight kg,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,volume_cm3,number,feature,Volume cm3,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,origin_count,integer,feature,Origin count,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,supplier_count,integer,feature,Supplier count,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,max_supplier_rating,number,feature,Max supplier rating,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,product_views,integer,feature,Product views,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,search_impressions,integer,feature,Search impressions,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,quote_requests,integer,feature,Quote requests,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,saved_quotes,integer,feature,Saved quotes,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,order_count,integer,feature,Order count,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,ordered_qty,integer,feature,Ordered qty,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,gmv_bdt,number,feature,Gmv bdt,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,cancelled_orders,string,feature,Cancelled orders,synthetic-demand-v1,,
