example_id,split,category_slug,weight_kg,length_cm,width_cm,height_cm,volume_cm3,origin_country_code,transport_mode,stock,moq,supplier_rating,target_offer_price_usd,feature_source,label_source,is_synthetic
offer-MOB-001-STD-1,test,mobile-accessories,0.180,12.00,8.00,3.00,288.000,CN,LOCAL,120,1,4.61,4.80,seed_derived,pseudo_formula,1
offer-MOB-001-STD-2,test,mobile-accessories,0.180,12.00,8.00,3.00,288.000,CN,BULK,400,10,4.61,4.32,seed_derived,pseudo_formula,1
offer-MOB-001-STD-3,test,mobile-accessories,0.180,12.00,8.00,3.00,288.000,VN,LOCAL,90,1,4.60,5.09,seed_derived,pseudo_formula,1
offer-MOB-001-STD-4,test,mobile-accessories,0.180,12.00,8.00,3.00,288.000,MY,BULK,280,8,4.63,4.51,seed_derived,pseudo_formula,1
offer-MOB-002-STD-1,test,mobile-accessories,0.060,8.00,5.00,2.00,80.000,CN,LOCAL,120,1,4.61,3.20,seed_derived,pseudo_formula,1
offer-MOB-002-STD-2,test,mobile-accessories,0.060,8.00,5.00,2.00,80.000,CN,BULK,400,10,4.61,2.88,seed_derived,pseudo_formula,1
offer-MOB-002-STD-3,test,mobile-accessories,0.060,8.00,5.00,2.00,80.000,VN,LOCAL,90,1,4.60,3.39,seed_derived,pseudo_formula,1
offer-MOB-002-STD-4,test,mobile-accessories,0.060,8.00,5.00,2.00,80.000,MY,BULK,280,8,4.63,3.01,seed_derived,pseudo_formula,1
offer-MOB-003-STD-1,train,mobile-accessories,0.090,17.00,9.00,2.00,306.000,CN,LOCAL,120,1,4.61,3.90,seed_derived,pseudo_formula,1
offer-MOB-003-STD-2,train,mobile-accessories,0.090,17.00,9.00,2.00,306.000,CN,BULK,400,10,4.61,3.51,seed_derived,pseudo_formula,1
offer-MOB-003-STD-3,train,mobile-accessories,0.090,17.00,9.00,2.00,306.000,VN,LOCAL,90,1,4.60,4.13,seed_derived,pseudo_formula,1
offer-MOB-003-STD-4,train,mobile-accessories,0.090,17.00,9.00,2.00,306.000,MY,BULK,280,8,4.63,3.67,seed_derived,pseudo_formula,1
offer-MOB-004-STD-1,train,mobile-accessories,0.050,19.00,10.00,1.00,190.000,CN,LOCAL,120,1,4.61,1.80,seed_derived,pseudo_formula,1
offer-MOB-004-STD-2,train,mobile-accessories,0.050,19.00,10.00,1.00,190.000,CN,BULK,400,10,4.61,1.62,seed_derived,pseudo_formula,1
offer-MOB-004-STD-3,train,mobile-accessories,0.050,19.00,10.00,1.00,190.000,VN,LOCAL,90,1,4.60,1.91,seed_derived,pseudo_formula,1
offer-MOB-004-STD-4,train,mobile-accessories,0.050,19.00,10.00,1.00,190.000,MY,BULK,280,8,4.63,1.69,seed_derived,pseudo_formula,1
offer-MOB-005-STD-1,validation,mobile-accessories,0.100,9.00,7.00,4.00,252.000,CN,LOCAL,120,1,4.61,8.50,seed_derived,pseudo_formula,1
offer-MOB-005-STD-2,validation,mobile-accessories,0.100,9.00,7.00,4.00,252.000,CN,BULK,400,10,4.61,7.65,seed_derived,pseudo_formula,1
offer-MOB-005-STD-3,validation,mobile-accessories,0.100,9.00,7.00,4.00,252.000,VN,LOCAL,90,1,4.60,9.01,seed_derived,pseudo_formula,1
offer-MOB-005-STD-4,validation,mobile-accessories,0.100,9.00,7.00,4.00,252.000,MY,BULK,280,8,4.63,7.99,seed_derived,pseudo_formula,1
offer-MOB-006-STD-1,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,CN,LOCAL,120,1,4.61,2.60,seed_derived,pseudo_formula,1
offer-MOB-006-STD-2,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,CN,BULK,400,10,4.61,2.34,seed_derived,pseudo_formula,1
offer-MOB-006-STD-3,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,VN,LOCAL,90,1,4.60,2.76,seed_derived,pseudo_formula,1
offer-MOB-006-STD-4,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,MY,BULK,280,8,4.63,2.44,seed_derived,pseudo_formula,1
offer-MOB-007-STD-1,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,CN,LOCAL,120,1,4.61,2.80,seed_derived,pseudo_formula,1
offer-MOB-007-STD-2,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,CN,BULK,400,10,4.61,2.52,seed_derived,pseudo_formula,1
offer-MOB-007-STD-3,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,VN,LOCAL,90,1,4.60,2.97,seed_derived,pseudo_formula,1
offer-MOB-007-STD-4,train,mobile-accessories,0.080,15.00,10.00,2.00,300.000,MY,BULK,280,8,4.63,2.63,seed_derived,pseudo_formula,1
offer-MOB-008-STD-1,train,mobile-accessories,0.120,16.00,11.00,3.00,528.000,CN,LOCAL,120,1,4.61,4.20,seed_derived,pseudo_formula,1
offer-MOB-008-STD-2,train,mobile-accessories,0.120,16.00,11.00,3.00,528.000,CN,BULK,400,10,4.61,3.78,seed_derived,pseudo_formula,1
offer-MOB-008-STD-3,train,mobile-accessories,0.120,16.00,11.00,3.00,528.000,VN,LOCAL,90,1,4.60,4.45,seed_derived,pseudo_formula,1
offer-MOB-008-STD-4,train,mobile-accessories,0.120,16.00,11.00,3.00,528.000,MY,BULK,280,8,4.63,3.95,seed_derived,pseudo_formula,1
offer-MOB-009-STD-1,test,mobile-accessories,0.070,22.00,12.00,2.00,528.000,CN,LOCAL,120,1,4.61,3.50,seed_derived,pseudo_formula,1
offer-MOB-009-STD-2,test,mobile-accessories,0.070,22.00,12.00,2.00,528.000,CN,BULK,400,10,4.61,3.15,seed_derived,pseudo_formula,1
offer-MOB-009-STD-3,test,mobile-accessories,0.070,22.00,12.00,2.00,528.000,VN,LOCAL,90,1,4.60,3.71,seed_derived,pseudo_formula,1
offer-MOB-009-STD-4,test,mobile-accessories,0.070,22.00,12.00,2.00,528.000,MY,BULK,280,8,4.63,3.29,seed_derived,pseudo_formula,1
offer-MOB-010-STD-1,train,mobile-accessories,0.220,12.00,9.00,7.00,756.000,CN,LOCAL,120,1,4.61,6.80,seed_derived,pseudo_formula,1
offer-MOB-010-STD-2,train,mobile-accessories,0.220,12.00,9.00,7.00,756.000,CN,BULK,400,10,4.61,6.12,seed_derived,pseudo_formula,1
offer-MOB-010-STD-3,train,mobile-accessories,0.220,12.00,9.00,7.00,756.000,VN,LOCAL,90,1,4.60,7.21,seed_derived,pseudo_formula,1
offer-MOB-010-STD-4,train,mobile-accessories,0.220,12.00,9.00,7.00,756.000,MY,BULK,280,8,4.63,6.39,seed_derived,pseudo_formula,1
offer-MOB-011-STD-1,train,mobile-accessories,0.280,14.00,10.00,6.00,840.000,CN,LOCAL,120,1,4.61,8.40,seed_derived,pseudo_formula,1
offer-MOB-011-STD-2,train,mobile-accessories,0.280,14.00,10.00,6.00,840.000,CN,BULK,400,10,4.61,7.56,seed_derived,pseudo_formula,1
offer-MOB-011-STD-3,train,mobile-accessories,0.280,14.00,10.00,6.00,840.000,VN,LOCAL,90,1,4.60,8.90,seed_derived,pseudo_formula,1
offer-MOB-011-STD-4,train,mobile-accessories,0.280,14.00,10.00,6.00,840.000,MY,BULK,280,8,4.63,7.90,seed_derived,pseudo_formula,1
offer-MOB-012-STD-1,train,mobile-accessories,0.100,16.00,10.00,4.00,640.000,CN,LOCAL,120,1,4.61,3.10,seed_derived,pseudo_formula,1
offer-MOB-012-STD-2,train,mobile-accessories,0.100,16.00,10.00,4.00,640.000,CN,BULK,400,10,4.61,2.79,seed_derived,pseudo_formula,1
offer-MOB-012-STD-3,train,mobile-accessories,0.100,16.00,10.00,4.00,640.000,VN,LOCAL,90,1,4.60,3.29,seed_derived,pseudo_formula,1
offer-MOB-012-STD-4,train,mobile-accessories,0.100,16.00,10.00,4.00,640.000,MY,BULK,280,8,4.63,2.91,seed_derived,pseudo_formula,1
offer-LPC-001-STD-1,train,laptop-pc-accessories,0.650,28.00,24.00,5.00,3360.000,MY,LOCAL,120,1,4.63,18.00,seed_derived,pseudo_formula,1
offer-LPC-001-STD-2,train,laptop-pc-accessories,0.650,28.00,24.00,5.00,3360.000,MY,BULK,400,10,4.63,16.20,seed_derived,pseudo_formula,1
offer-LPC-001-STD-3,train,laptop-pc-accessories,0.650,28.00,24.00,5.00,3360.000,CN,LOCAL,90,1,4.61,19.08,seed_derived,pseudo_formula,1
offer-LPC-001-STD-4,train,laptop-pc-accessories,0.650,28.00,24.00,5.00,3360.000,SG,BULK,280,8,4.69,16.92,seed_derived,pseudo_formula,1
offer-LPC-002-STD-1,train,laptop-pc-accessories,0.350,38.00,28.00,3.00,3192.000,MY,LOCAL,120,1,4.63,12.00,seed_derived,pseudo_formula,1
offer-LPC-002-STD-2,train,laptop-pc-accessories,0.350,38.00,28.00,3.00,3192.000,MY,BULK,400,10,4.63,10.80,seed_derived,pseudo_formula,1
offer-LPC-002-STD-3,train,laptop-pc-accessories,0.350,38.00,28.00,3.00,3192.000,CN,LOCAL,90,1,4.61,12.72,seed_derived,pseudo_formula,1
offer-LPC-002-STD-4,train,laptop-pc-accessories,0.350,38.00,28.00,3.00,3192.000,SG,BULK,280,8,4.69,11.28,seed_derived,pseudo_formula,1
offer-LPC-003-STD-1,train,laptop-pc-accessories,0.160,11.00,8.00,6.00,528.000,MY,LOCAL,120,1,4.63,18.00,seed_derived,pseudo_formula,1
offer-LPC-003-STD-2,train,laptop-pc-accessories,0.160,11.00,8.00,6.00,528.000,MY,BULK,400,10,4.63,16.20,seed_derived,pseudo_formula,1
offer-LPC-003-STD-3,train,laptop-pc-accessories,0.160,11.00,8.00,6.00,528.000,CN,LOCAL,90,1,4.61,19.08,seed_derived,pseudo_formula,1
offer-LPC-003-STD-4,train,laptop-pc-accessories,0.160,11.00,8.00,6.00,528.000,SG,BULK,280,8,4.69,16.92,seed_derived,pseudo_formula,1
offer-LPC-004-STD-1,train,laptop-pc-accessories,0.120,12.00,7.00,4.00,336.000,MY,LOCAL,120,1,4.63,9.00,seed_derived,pseudo_formula,1
