source_revision,product_id,product_slug,category_slug,country_code,feature_source,is_synthetic
20260730_04,1,iphone-14,phones,CN,seed_derived,1
20260730_04,1,iphone-14,phones,SG,seed_derived,1
20260730_04,1,iphone-14,phones,TH,seed_derived,1
20260730_04,2,rtx-4070,pc-components,CN,seed_derived,1
20260730_04,2,rtx-4070,pc-components,SG,seed_derived,1
20260730_04,2,rtx-4070,pc-components,TH,seed_derived,1
20260730_04,3,xiaomi-powerbank-20k,electronics,CN,seed_derived,1
20260730_04,3,xiaomi-powerbank-20k,electronics,SG,seed_derived,1
20260730_04,3,xiaomi-powerbank-20k,electronics,TH,seed_derived,1
20260730_04,4,Phone,phones,CN,seed_derived,1
20260730_04,4,Phone,phones,SG,seed_derived,1
20260730_04,4,Phone,phones,TH,seed_derived,1
20260730_04,5,Touch_1122,electronics,CN,seed_derived,1
20260730_04,5,Touch_1122,electronics,SG,seed_derived,1
20260730_04,5,Touch_1122,electronics,TH,seed_derived,1
20260730_04,6,electronics,electronics,CN,seed_derived,1
20260730_04,6,electronics,electronics,SG,seed_derived,1
20260730_04,6,electronics,electronics,TH,seed_derived,1
20260730_04,7,haircare-sku0,haircare,CN,seed_derived,1
20260730_04,7,haircare-sku0,haircare,IN,seed_derived,1
20260730_04,7,haircare-sku0,haircare,SG,seed_derived,1
20260730_04,7,haircare-sku0,haircare,TH,seed_derived,1
20260730_04,8,skincare-sku1,skincare,CN,seed_derived,1
20260730_04,8,skincare-sku1,skincare,IN,seed_derived,1
20260730_04,8,skincare-sku1,skincare,SG,seed_derived,1
20260730_04,8,skincare-sku1,skincare,TH,seed_derived,1
20260730_04,9,haircare-sku2,haircare,CN,seed_derived,1
20260730_04,9,haircare-sku2,haircare,IN,seed_derived,1
20260730_04,9,haircare-sku2,haircare,SG,seed_derived,1
20260730_04,9,haircare-sku2,haircare,TH,seed_derived,1
20260730_04,10,skincare-sku3,skincare,CN,seed_derived,1
20260730_04,10,skincare-sku3,skincare,IN,seed_derived,1
20260730_04,10,skincare-sku3,skincare,SG,seed_derived,1
20260730_04,10,skincare-sku3,skincare,TH,seed_derived,1
20260730_04,11,skincare-sku4,skincare,CN,seed_derived,1
20260730_04,11,skincare-sku4,skincare,IN,seed_derived,1
20260730_04,11,skincare-sku4,skincare,SG,seed_derived,1
20260730_04,11,skincare-sku4,skincare,TH,seed_derived,1
20260730_04,12,haircare-sku5,haircare,CN,seed_derived,1
20260730_04,12,haircare-sku5,haircare,IN,seed_derived,1
20260730_04,12,haircare-sku5,haircare,SG,seed_derived,1
20260730_04,12,haircare-sku5,haircare,TH,seed_derived,1
20260730_04,13,skincare-sku6,skincare,CN,seed_derived,1
20260730_04,13,skincare-sku6,skincare,IN,seed_derived,1
20260730_04,13,skincare-sku6,skincare,SG,seed_derived,1
20260730_04,13,skincare-sku6,skincare,TH,seed_derived,1
20260730_04,14,cosmetics-sku7,cosmetics,CN,seed_derived,1
20260730_04,14,cosmetics-sku7,cosmetics,IN,seed_derived,1
20260730_04,14,cosmetics-sku7,cosmetics,SG,seed_derived,1
20260730_04,14,cosmetics-sku7,cosmetics,TH,seed_derived,1
20260730_04,15,cosmetics-sku8,cosmetics,CN,seed_derived,1
20260730_04,15,cosmetics-sku8,cosmetics,IN,seed_derived,1
20260730_04,15,cosmetics-sku8,cosmetics,SG,seed_derived,1
20260730_04,15,cosmetics-sku8,cosmetics,TH,seed_derived,1
20260730_04,16,skincare-sku9,skincare,CN,seed_derived,1
