row_id,feature_period_start,target_period_start,split,product_id,product_slug,category_slug,min_price_usd,weight_kg,volume_cm3,origin_count,supplier_count,max_supplier_rating,product_views,search_impressions,quote_requests,saved_quotes,order_count,ordered_qty,gmv_bdt,cancelled_orders,delivered_orders,on_time_delivery_count,defect_count,ordered_qty_lag_1,ordered_qty_lag_2,ordered_qty_lag_3,ordered_qty_trailing_mean_3,gmv_trailing_mean_3,quote_to_order_rate,target_next_month_order_qty,target_next_month_gmv_bdt,target_next_month_trend,feature_source,label_source,is_synthetic,simulation_version,simulation_seed
trend-1-2023-04-01,2023-04-01,2023-05-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,1003,565,72,45,25,60,142451.95,2,23,20,1,82,62,75,73.0000,174874.26,0.347222,81,199231.70,UP,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-05-01,2023-05-01,2023-06-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,894,662,84,62,32,81,199231.70,2,30,27,2,60,82,62,68.0000,166003.33,0.380952,55,133688.41,DOWN,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-06-01,2023-06-01,2023-07-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,789,628,64,40,26,55,133688.41,2,24,20,1,81,60,82,74.3333,180867.78,0.406250,93,230363.80,UP,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-07-01,2023-07-01,2023-08-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,1421,656,95,68,38,93,230363.80,4,34,29,1,55,81,60,65.3333,158457.35,0.400000,100,236612.33,STABLE,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-08-01,2023-08-01,2023-09-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,1411,635,102,59,41,100,236612.33,4,37,32,1,93,55,81,76.3333,187761.30,0.401961,72,172627.85,DOWN,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-09-01,2023-09-01,2023-10-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,673,297,57,39,28,72,172627.85,2,26,21,1,100,93,55,82.6667,200221.51,0.491228,105,241192.07,UP,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-10-01,2023-10-01,2023-11-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,2086,1422,83,60,40,105,241192.07,2,38,30,1,72,100,93,88.3333,213201.33,0.481928,126,297764.33,UP,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-11-01,2023-11-01,2023-12-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,1530,793,144,80,48,126,297764.33,4,44,36,3,105,72,100,92.3333,216810.75,0.333333,151,364370.02,UP,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2023-12-01,2023-12-01,2024-01-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,4500,2488,179,104,55,151,364370.02,4,51,42,3,126,105,72,101.0000,237194.75,0.307263,76,179725.93,DOWN,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
trend-1-2024-01-01,2024-01-01,2024-02-01,train,1,iphone-14,phones,19.70,0.200,83.496,3,6,4.80,675,383,60,46,32,76,179725.93,3,29,25,1,151,126,105,127.3333,301108.81,0.533333,82,194617.50,STABLE,synthetic_simulation,synthetic_simulation,1,synthetic-demand-v1,20260730
